locus_tag	ftype	length_bp	gene	EC_number	COG	product
NGCPGEKM_00074	CDS	1116	pepT_1	3.4.11.4	COG2195	Peptidase T
NGCPGEKM_00075	CDS	1404	gnd	1.1.1.44		6-phosphogluconate dehydrogenase, decarboxylating
NGCPGEKM_00076	CDS	396				hypothetical protein
NGCPGEKM_00077	CDS	273				hypothetical protein
NGCPGEKM_00078	CDS	858				hypothetical protein
NGCPGEKM_00079	CDS	1485	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
NGCPGEKM_00080	CDS	918	rnz	3.1.26.11	COG1234	Ribonuclease Z
NGCPGEKM_00081	CDS	816	proC	1.5.1.2		Pyrroline-5-carboxylate reductase
NGCPGEKM_00082	CDS	756				hypothetical protein
NGCPGEKM_00083	CDS	921	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
NGCPGEKM_00084	CDS	543	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
NGCPGEKM_00085	CDS	456	fur		COG0735	Ferric uptake regulation protein
NGCPGEKM_00086	CDS	888	xerD			Tyrosine recombinase XerD
NGCPGEKM_00087	CDS	507				hypothetical protein
NGCPGEKM_00088	CDS	729	scpA		COG1354	Segregation and condensation protein A
NGCPGEKM_00089	CDS	543	scpB		COG1386	Segregation and condensation protein B
NGCPGEKM_00090	CDS	747	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
NGCPGEKM_00091	CDS	726	srrA			Transcriptional regulatory protein SrrA
NGCPGEKM_00092	CDS	1758	srrB	2.7.13.3		Sensor protein SrrB
NGCPGEKM_00093	CDS	546	ribU			Riboflavin transporter RibU
NGCPGEKM_00094	CDS	249				Ferredoxin
NGCPGEKM_00095	CDS	948	ypbB		COG4955	Protein YpbB
NGCPGEKM_00096	CDS	1377	recS	5.6.2.4	COG0514	putative ATP-dependent DNA helicase RecS
NGCPGEKM_00097	CDS	1356				hypothetical protein
NGCPGEKM_00098	CDS	987	bdr	1.8.1.-	COG0492	Bacilliredoxin reductase Bdr
NGCPGEKM_00099	CDS	969	ansZ	3.5.1.1	COG0252	L-asparaginase 2
NGCPGEKM_00100	CDS	660	cmk	2.7.4.25		Cytidylate kinase
NGCPGEKM_00101	CDS	1185	rpsA			Small ribosomal subunit protein bS1
NGCPGEKM_00102	CDS	1311	der			GTPase Der
NGCPGEKM_00103	CDS	999	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
NGCPGEKM_00104	CDS	273	hup			DNA-binding protein HU
NGCPGEKM_00105	CDS	570				hypothetical protein
NGCPGEKM_00106	CDS	714	menG	2.1.1.163		Demethylmenaquinone methyltransferase
NGCPGEKM_00107	CDS	957	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
NGCPGEKM_00108	CDS	453	ndk	2.7.4.6		Nucleoside diphosphate kinase
NGCPGEKM_00109	CDS	1170	aroC	4.2.3.5		Chorismate synthase
NGCPGEKM_00110	CDS	1074	aroB	4.2.3.4		3-dehydroquinate synthase
NGCPGEKM_00111	CDS	1290	aroA_1	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
NGCPGEKM_00112	CDS	1242	ypiA		COG0457	TPR repeat-containing protein YpiA
NGCPGEKM_00113	CDS	558				hypothetical protein
NGCPGEKM_00114	CDS	594				hypothetical protein
NGCPGEKM_00115	CDS	699				hypothetical protein
NGCPGEKM_00116	CDS	324	ypjD		COG1694	putative protein YpjD
NGCPGEKM_00117	CDS	1125	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
NGCPGEKM_00118	CDS	1203	cca	2.7.7.72		CCA-adding enzyme
NGCPGEKM_00119	CDS	972	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
NGCPGEKM_00120	CDS	2703	dinG	3.1.-.-	COG0847	3'-5' exonuclease DinG
NGCPGEKM_00121	CDS	1293	asnS	6.1.1.22		Asparagine--tRNA ligase
NGCPGEKM_00122	CDS	693	dnaD		COG3935	Replicative helicase loading/DNA remodeling protein DnaD
NGCPGEKM_00123	CDS	675	nth	4.2.99.18	COG0177	Endonuclease III
NGCPGEKM_00124	CDS	336				hypothetical protein
NGCPGEKM_00125	CDS	2223	pbp2			penicillin-binding protein PBP2
NGCPGEKM_00126	CDS	627	recU	3.1.21.10		Holliday junction resolvase RecU
NGCPGEKM_00127	CDS	342				hypothetical protein
NGCPGEKM_00128	CDS	558				hypothetical protein
NGCPGEKM_00129	CDS	336	gpsB			Cell cycle protein GpsB
NGCPGEKM_00130	CDS	1128	ypsC	2.1.1.-	COG0116	Putative RNA methyltransferase YpsC
NGCPGEKM_00131	CDS	918	rarD		COG2962	Protein RarD
NGCPGEKM_00132	CDS	3456	dynA		COG0699	Dynamin-like protein A
NGCPGEKM_00133	CDS	882	ypcP	3.1.11.-	COG0258	5'-3' exonuclease
NGCPGEKM_00134	CDS	405	rnhA		COG0328	14.7 kDa ribonuclease H-like protein
NGCPGEKM_00135	CDS	699				hypothetical protein
NGCPGEKM_00136	CDS	1119				hypothetical protein
NGCPGEKM_00137	CDS	441				Bacilliredoxin
NGCPGEKM_00138	CDS	954	thyA	2.1.1.45		Thymidylate synthase
NGCPGEKM_00139	CDS	480	folA	1.5.1.3		Dihydrofolate reductase
NGCPGEKM_00140	CDS	855				DegV domain-containing protein
NGCPGEKM_00141	CDS	525	msrA2	1.8.4.11		Peptide methionine sulfoxide reductase MsrA 2
NGCPGEKM_00142	CDS	429	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
NGCPGEKM_00143	CDS	501	crr			PTS system glucose-specific EIIA component
NGCPGEKM_00144	CDS	222				hypothetical protein
NGCPGEKM_00145	CDS	1530		3.4.21.-		putative CtpA-like serine protease
NGCPGEKM_00146	CDS	510				hypothetical protein
NGCPGEKM_00147	CDS	1086	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
NGCPGEKM_00148	CDS	624				hypothetical protein
NGCPGEKM_00149	CDS	678	arlR		COG0745	Response regulator ArlR
NGCPGEKM_00150	CDS	1368	arlS	2.7.13.3	COG5002	Signal transduction histidine-protein kinase ArlS
NGCPGEKM_00151	CDS	2787	odhA	1.2.4.2		2-oxoglutarate dehydrogenase E1 component
NGCPGEKM_00152	CDS	1278	odhB	2.3.1.61		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
NGCPGEKM_00153	CDS	240				hypothetical protein
NGCPGEKM_00154	CDS	825				hypothetical protein
NGCPGEKM_00155	CDS	204				hypothetical protein
NGCPGEKM_00156	CDS	798	nirQ		COG0714	Denitrification regulatory protein NirQ
NGCPGEKM_00157	CDS	1890				hypothetical protein
NGCPGEKM_00158	CDS	1347	braB		COG1114	Branched-chain amino acid permease BraB
NGCPGEKM_00159	CDS	216	opuD_1		COG1292	Glycine betaine transporter OpuD
NGCPGEKM_00160	CDS	1167				TelA-like protein
NGCPGEKM_00161	CDS	639				hypothetical protein
NGCPGEKM_00162	CDS	273	acyP	3.6.1.7	COG1254	Acylphosphatase
NGCPGEKM_00163	CDS	309				hypothetical protein
NGCPGEKM_00164	CDS	201	cspA		COG1278	Cold shock protein CspA
NGCPGEKM_00165	CDS	183				hypothetical protein
NGCPGEKM_00166	CDS	1266	lysA	4.1.1.20	COG1166	Diaminopimelate decarboxylase
NGCPGEKM_00167	CDS	1080	alr1_1	5.1.1.1		Alanine racemase 1
NGCPGEKM_00168	CDS	1155	scmP	3.5.1.-	COG1473	N-acetylcysteine deacetylase
NGCPGEKM_00169	CDS	720	dapH	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
NGCPGEKM_00170	CDS	723	dapB	1.17.1.8		4-hydroxy-tetrahydrodipicolinate reductase
NGCPGEKM_00171	CDS	879	dapA	4.3.3.7		4-hydroxy-tetrahydrodipicolinate synthase
NGCPGEKM_00172	CDS	987	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
NGCPGEKM_00173	CDS	1611	ybiT		COG0488	putative ATP-binding protein YbiT
NGCPGEKM_00174	CDS	912	cvfB			Conserved virulence factor B
NGCPGEKM_00175	CDS	3741				hypothetical protein
NGCPGEKM_00176	CDS	1800	pepF_1	3.4.24.-	COG1164	Oligopeptidase PepF
NGCPGEKM_00177	CDS	324				hypothetical protein
NGCPGEKM_00178	CDS	1260	femB	2.3.2.18	COG2348	Aminoacyltransferase FemB
NGCPGEKM_00179	CDS	1266	femA_1	2.3.2.17	COG2348	Aminoacyltransferase FemA
NGCPGEKM_00180	CDS	1035	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
NGCPGEKM_00181	CDS	1092				hypothetical protein
NGCPGEKM_00182	CDS	1263	dinB_1	2.7.7.7	COG0389	DNA polymerase IV
NGCPGEKM_00183	CDS	408				hypothetical protein
NGCPGEKM_00184	CDS	186		5.3.2.-		putative tautomerase.1
NGCPGEKM_00185	CDS	972	msrR		COG1316	Regulatory protein MsrR
NGCPGEKM_00186	CDS	519	msrA1	1.8.4.11		Peptide methionine sulfoxide reductase MsrA 1
NGCPGEKM_00187	CDS	2520	mprF			bifunctional lysylphosphatidylglycerol flippase/synthetase MprF
NGCPGEKM_00188	CDS	1203				hypothetical protein
NGCPGEKM_00189	CDS	2040	ptsG_1	2.7.1.199		PTS system glucose-specific EIICBA component
NGCPGEKM_00190	CDS	852	glcT		COG3711	GlcA/glcB genes antiterminator
NGCPGEKM_00191	CDS	1464	alsT		COG1115	Amino-acid carrier protein AlsT
NGCPGEKM_00192	CDS	2412	grlA			DNA topoisomerase GrlA
NGCPGEKM_00193	CDS	1998	parE			DNA topoisomerase IV subunit B ParE
NGCPGEKM_00194	CDS	582	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
NGCPGEKM_00195	CDS	306				putative protein
NGCPGEKM_00196	CDS	465				hypothetical protein
NGCPGEKM_00197	CDS	2706	acnA	4.2.1.3		Aconitate hydratase A
NGCPGEKM_00198	CDS	1635	opuD_2		COG1292	Glycine betaine transporter OpuD
NGCPGEKM_00199	CDS	360	mscL		COG1970	Large-conductance mechanosensitive channel
NGCPGEKM_00200	CDS	3033	sbcC			Nuclease SbcCD subunit C
NGCPGEKM_00201	CDS	1122	sbcD			Nuclease SbcCD subunit D
NGCPGEKM_00202	CDS	468				hypothetical protein
NGCPGEKM_00203	CDS	240				hypothetical protein
NGCPGEKM_00204	CDS	1986	tkt	2.2.1.1		Transketolase
NGCPGEKM_00205	CDS	237				hypothetical protein
NGCPGEKM_00206	CDS	234				hypothetical protein
NGCPGEKM_00207	CDS	624	lexA	3.4.21.88	COG1974	LexA repressor
NGCPGEKM_00208	CDS	810				hypothetical protein
NGCPGEKM_00209	CDS	978	guaC	1.7.1.7		GMP reductase
NGCPGEKM_00210	CDS	270	rpsN		COG0199	Small ribosomal subunit protein uS14A
NGCPGEKM_00211	CDS	150	rpmG1		COG0267	Large ribosomal subunit protein bL33A
NGCPGEKM_00212	CDS	1452	lysP_1		COG0833	Lysine-specific permease LysP
NGCPGEKM_00213	CDS	315				hypothetical protein
NGCPGEKM_00214	CDS	804		3.1.3.-		Putative phosphatase
NGCPGEKM_00215	CDS	921	thrB	2.7.1.39	COG0083	Homoserine kinase
NGCPGEKM_00216	CDS	1065	thrC	4.2.3.1	COG0498	Threonine synthase
NGCPGEKM_00217	CDS	1284				hypothetical protein
NGCPGEKM_00218	CDS	1353	yclM	2.7.2.4	COG0527	Aspartokinase 3
NGCPGEKM_00219	CDS	588				hypothetical protein
NGCPGEKM_00220	CDS	363				hypothetical protein
NGCPGEKM_00221	CDS	870				hypothetical protein
NGCPGEKM_00222	CDS	507	nucH	3.1.31.1		Thermonuclease
NGCPGEKM_00223	CDS	198				hypothetical protein
NGCPGEKM_00224	CDS	96				hypothetical protein
NGCPGEKM_00225	CDS	141				hypothetical protein
NGCPGEKM_00226	CDS	642				hypothetical protein
NGCPGEKM_00227	CDS	741	pynA	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase PynA
NGCPGEKM_00228	CDS	243				hypothetical protein
NGCPGEKM_00229	CDS	1293	yihN		COG2271	Inner membrane protein YihN
NGCPGEKM_00230	CDS	747	ugpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
NGCPGEKM_00231	CDS	309				hypothetical protein
NGCPGEKM_00232	CDS	180				hypothetical protein
NGCPGEKM_00233	CDS	627				hypothetical protein
NGCPGEKM_00234	CDS	1341	glnA	6.3.1.2		Glutamine synthetase
NGCPGEKM_00235	CDS	369	glnR		COG0789	HTH-type transcriptional regulator GlnR
NGCPGEKM_00236	CDS	1248				hypothetical protein
NGCPGEKM_00237	CDS	1233	hflX		COG2262	GTPase HflX
NGCPGEKM_00238	CDS	474	bsaA			Glutathione peroxidase BsaA
NGCPGEKM_00239	CDS	954		3.1.1.23	COG2267	Monoacylglycerol lipase
NGCPGEKM_00240	CDS	957	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
NGCPGEKM_00241	CDS	207	hfq		COG1923	RNA-binding protein Hfq
NGCPGEKM_00242	CDS	90				hypothetical protein
NGCPGEKM_00243	CDS	1671	glpD	1.1.5.3		Aerobic glycerol-3-phosphate dehydrogenase
NGCPGEKM_00244	CDS	1503	glpK	2.7.1.30		Glycerol kinase
NGCPGEKM_00245	CDS	816	glpF		COG0580	Glycerol uptake facilitator protein
NGCPGEKM_00246	CDS	1029	mccF			Microcin C7 self-immunity protein MccF
NGCPGEKM_00247	CDS	534	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
NGCPGEKM_00248	CDS	1941	mutL			DNA mismatch repair protein MutL
NGCPGEKM_00249	CDS	2598	mutS		COG0249	DNA mismatch repair protein MutS
NGCPGEKM_00250	CDS	510				hypothetical protein
NGCPGEKM_00251	CDS	378	ymcA		COG4550	putative protein YmcA
NGCPGEKM_00252	CDS	1551	miaB	2.8.4.3		tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NGCPGEKM_00253	CDS	300				hypothetical protein
NGCPGEKM_00254	CDS	867				hypothetical protein
NGCPGEKM_00255	CDS	1761	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
NGCPGEKM_00256	CDS	795	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
NGCPGEKM_00257	CDS	2175	cadA	7.2.2.21		Cadmium-transporting ATPase
NGCPGEKM_00258	CDS	381	cadC			Cadmium resistance transcriptional regulatory protein CadC
NGCPGEKM_00259	CDS	219				hypothetical protein
NGCPGEKM_00260	CDS	1560	rny	3.1.-.-	COG1418	Ribonuclease Y
NGCPGEKM_00261	CDS	1044	recA			Protein RecA
NGCPGEKM_00262	CDS	1176				hypothetical protein
NGCPGEKM_00263	CDS	585	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NGCPGEKM_00264	CDS	396				hypothetical protein
NGCPGEKM_00265	CDS	846				hypothetical protein
NGCPGEKM_00266	CDS	705	fabG_1	1.1.1.100	COG1028	3-oxoacyl-[acyl-carrier-protein] reductase FabG
NGCPGEKM_00267	CDS	1290				hypothetical protein
NGCPGEKM_00268	CDS	1275				hypothetical protein
NGCPGEKM_00269	CDS	717				hypothetical protein
NGCPGEKM_00270	CDS	2364	ftsK			DNA translocase FtsK
NGCPGEKM_00271	CDS	1674	rnj2	3.1.-.-		Ribonuclease J 2
NGCPGEKM_00272	CDS	2094	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
NGCPGEKM_00273	CDS	270	rpsO		COG0184	Small ribosomal subunit protein uS15
NGCPGEKM_00274	CDS	972	ribCF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
NGCPGEKM_00275	CDS	918	truB	5.4.99.25		tRNA pseudouridine synthase B
NGCPGEKM_00276	CDS	345	rbfA		COG0858	Ribosome-binding factor A
NGCPGEKM_00277	CDS	240				hypothetical protein
NGCPGEKM_00278	CDS	2139	infB			Translation initiation factor IF-2
NGCPGEKM_00279	CDS	306	rulQ		COG1358	RNA-binding protein YlxQ
NGCPGEKM_00280	CDS	288				hypothetical protein
NGCPGEKM_00281	CDS	1179	nusA		COG0195	Transcription termination/antitermination protein NusA
NGCPGEKM_00282	CDS	468	rimP		COG0779	Ribosome maturation factor RimP
NGCPGEKM_00283	CDS	4308	polC	2.7.7.7		DNA polymerase III PolC-type
NGCPGEKM_00284	CDS	1704	proS	6.1.1.15		Proline--tRNA ligase
NGCPGEKM_00285	CDS	1281		3.4.24.-		Putative zinc metalloprotease
NGCPGEKM_00286	CDS	1134	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
NGCPGEKM_00287	CDS	783				hypothetical protein
NGCPGEKM_00288	CDS	762	uppS	2.5.1.-		Isoprenyl transferase
NGCPGEKM_00289	CDS	555	frr			Ribosome-recycling factor
NGCPGEKM_00290	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
NGCPGEKM_00291	CDS	879	tsf			Elongation factor Ts
NGCPGEKM_00292	CDS	798	rpsB		COG0052	Small ribosomal subunit protein uS2
NGCPGEKM_00293	CDS	774	codY			Global transcriptional regulator CodY
NGCPGEKM_00294	CDS	1410	hslU			ATP-dependent protease ATPase subunit HslU
NGCPGEKM_00295	CDS	543	hslV	3.4.25.2		ATP-dependent protease subunit HslV
NGCPGEKM_00296	CDS	891	xerC_1		COG4974	Tyrosine recombinase XerC
NGCPGEKM_00297	CDS	1305	trmFO	2.1.1.74		Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
NGCPGEKM_00298	CDS	2070	topA	5.6.2.1		DNA topoisomerase 1
NGCPGEKM_00299	CDS	888				hypothetical protein
NGCPGEKM_00300	CDS	906	sucD	6.2.1.5		Succinate--CoA ligase [ADP-forming] subunit alpha
NGCPGEKM_00301	CDS	1167	sucC	6.2.1.5		Succinate--CoA ligase [ADP-forming] subunit beta
NGCPGEKM_00302	CDS	276				hypothetical protein
NGCPGEKM_00303	CDS	786	rnhB	3.1.26.4	COG0164	Ribonuclease HII
NGCPGEKM_00304	CDS	873	rbgA		COG1161	Ribosome biogenesis GTPase A
NGCPGEKM_00305	CDS	384				hypothetical protein
NGCPGEKM_00306	CDS	2610				hypothetical protein
NGCPGEKM_00307	CDS	2595				hypothetical protein
NGCPGEKM_00308	CDS	633				hypothetical protein
NGCPGEKM_00309	CDS	729				hypothetical protein
NGCPGEKM_00310	CDS	399				hypothetical protein
NGCPGEKM_00311	CDS	429				hypothetical protein
NGCPGEKM_00312	CDS	138				hypothetical protein
NGCPGEKM_00313	CDS	351	rplS		COG0335	Large ribosomal subunit protein bL19
NGCPGEKM_00314	CDS	732	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
NGCPGEKM_00315	CDS	504	rimM			Ribosome maturation factor RimM
NGCPGEKM_00316	CDS	276	rpsP		COG0228	Small ribosomal subunit protein bS16
NGCPGEKM_00317	CDS	672				hypothetical protein
NGCPGEKM_00318	CDS	1239				hypothetical protein
NGCPGEKM_00319	CDS	1557	hsdM_1	2.1.1.72		Type I restriction enzyme EcoR124I/EcoR124II methylase subunit
NGCPGEKM_00320	CDS	2043				hypothetical protein
NGCPGEKM_00321	CDS	2241				hypothetical protein
NGCPGEKM_00322	CDS	2793	hsdR	3.1.21.3		Type I restriction enzyme SauN315I endonuclease subunit
NGCPGEKM_00323	CDS	1368	ffh	3.6.5.4	COG0541	Signal recognition particle protein
NGCPGEKM_00324	CDS	336				hypothetical protein
NGCPGEKM_00325	CDS	1200				hypothetical protein
NGCPGEKM_00326	CDS	3573	smc		COG1196	Chromosome partition protein Smc
NGCPGEKM_00327	CDS	732	rnc	3.1.26.3		Ribonuclease 3
NGCPGEKM_00328	CDS	234	acpP		COG0236	Acyl carrier protein
NGCPGEKM_00329	CDS	738	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
NGCPGEKM_00330	CDS	927	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
NGCPGEKM_00331	CDS	987	plsX	2.3.1.274		Phosphate acyltransferase
NGCPGEKM_00332	CDS	588	fapR		COG1349	Transcription factor FapR
NGCPGEKM_00333	CDS	2046	recG	5.6.2.4		ATP-dependent DNA helicase RecG
NGCPGEKM_00334	CDS	888	sdhA_1	4.3.1.17		L-serine dehydratase, alpha chain
NGCPGEKM_00335	CDS	666	sdhB_1	4.3.1.17		L-serine dehydratase, beta chain
NGCPGEKM_00336	CDS	1665				putative protein
NGCPGEKM_00337	CDS	375				putative protein
NGCPGEKM_00338	CDS	189	rpmB		COG0227	Large ribosomal subunit protein bL28
NGCPGEKM_00339	CDS	642	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
NGCPGEKM_00340	CDS	651	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
NGCPGEKM_00341	CDS	876	rsgA	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
NGCPGEKM_00342	CDS	1269	cypC	1.11.2.4	COG2124	Fatty-acid peroxygenase
NGCPGEKM_00343	CDS	2007	prkC	2.7.11.1		Serine/threonine-protein kinase PrkC
NGCPGEKM_00344	CDS	744	stp	3.1.3.16	COG0631	Serine/threonine phosphatase stp
NGCPGEKM_00345	CDS	1095	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
NGCPGEKM_00346	CDS	1302	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
